human_gene_symbol	human_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	is_tf	database_tf
A1BG	19	protein	intracellular, extracellular, secreted, receptor	intracellular, extracellular, secreted, receptor	3	FALSE	ComPPI, OmniPath, GO_Intercell, HPA_secretome, LOCATE, UniProt, CellTalkDB	FALSE	NA
A1CF	10	protein	intracellular	intracellular	3	FALSE	LOCATE, OmniPath, GO_Intercell, ComPPI, UniProt	FALSE	NA
A2M	12	protein	intracellular, growth_factor_binder, extracellular, secreted, ecm_regulator, ligand_regulator	intracellular, ligand_regulator, extracellular, secreted, ecm_regulator	5	FALSE	OmniPath, GO_Intercell, UniProt, HPA_secretome, Baccin2019, connectomeDB2020, Matrisome, LOCATE	FALSE	NA
A3GALT2	1	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	3	TRUE	GO_Intercell, UniProt, Phobius, OmniPath	FALSE	NA
A4GALT	22	protein	transmembrane_phobius, intracellular, transmembrane, transmembrane_sosui, transmembrane_predicted, transmembrane_tmhmm	transmembrane_predicted, intracellular, transmembrane	6	TRUE	Almen2009, UniProt, ComPPI, OmniPath, Ramilowski_location, LOCATE, GO_Intercell, Phobius	FALSE	NA
A4GNT	3	protein	transmembrane, intracellular	transmembrane, intracellular	5	TRUE	OmniPath, UniProt, Ramilowski_location, GO_Intercell, LOCATE	FALSE	NA
AAAS	12	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	Ramilowski_location, GO_Intercell, OmniPath, UniProt, ComPPI	FALSE	NA
AACS	12	protein	transmembrane, intracellular	transmembrane_predicted, intracellular	3	TRUE	Phobius, UniProt, ComPPI, GO_Intercell, OmniPath	FALSE	NA
AADAC	3	protein	transmembrane_predicted, transmembrane, intracellular, transmembrane_tmhmm	transmembrane, intracellular, transmembrane_predicted	7	TRUE	OmniPath, UniProt, LOCATE, TopDB, Ramilowski_location, GO_Intercell, Almen2009, ComPPI, Phobius	FALSE	NA
AADACL2	3	protein	secreted, transmembrane	secreted, transmembrane	3	TRUE	UniProt, HPA_secretome, OmniPath, Ramilowski_location	FALSE	NA
AADACL3	1	protein	transmembrane	transmembrane, transmembrane_predicted	1	TRUE	Ramilowski_location, OmniPath, Phobius	FALSE	NA
AADACL4	1	protein	transmembrane, transmembrane_tmhmm, transmembrane_predicted	transmembrane, transmembrane_predicted	4	TRUE	UniProt, Almen2009, OmniPath, Phobius	FALSE	NA
AADAT	4	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI, LOCATE	FALSE	NA
AAGAB	15	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI, LOCATE	FALSE	NA
AAK1	2	protein	plasma_membrane, receptor, intracellular	plasma_membrane, receptor, intracellular	2	FALSE	OmniPath, scConnect, UniProt, ComPPI, GO_Intercell, LOCATE	FALSE	NA
AAMDC	11	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	FALSE	NA
AAMP	2	protein	plasma_membrane, intracellular	plasma_membrane, intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	FALSE	NA
AANAT	17	protein	intracellular, extracellular, secreted	intracellular, extracellular, secreted	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI, connectomeDB2020, HPMR	FALSE	NA
AAR2	20	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
AARD	8	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
AARS1	16	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, LOCATE, ComPPI	FALSE	NA
AARS2	6	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	FALSE	NA
AARSD1	17	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	FALSE	NA
AASDH	4	protein	intracellular, transmembrane_sosui, transmembrane, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	intracellular, transmembrane_predicted, transmembrane	3	TRUE	OmniPath, ComPPI, Almen2009	FALSE	NA
AASDHPPT	11	protein	intracellular	intracellular	3	FALSE	UniProt, LOCATE, GO_Intercell, OmniPath, ComPPI	FALSE	NA
AASS	7	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, UniProt, LOCATE, OmniPath	FALSE	NA
AATF	17	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, GO_Intercell, UniProt, OmniPath	TRUE	SIGNOR
AATK	17	protein	receptor, transmembrane, transmembrane_phobius, transmembrane_sosui, intracellular, tyrosine_kinase, transmembrane_predicted	receptor, transmembrane, transmembrane_predicted, intracellular	5	TRUE	SignaLink_function, UniProt, scConnect, Almen2009, OmniPath, GO_Intercell, HGNC, Phobius, ComPPI, Ramilowski_location	FALSE	NA
ABAT	16	protein	receptor, intracellular	receptor, intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell, scConnect	FALSE	NA
ABCA1	9	protein	transmembrane, cell_surface, intracellular, plasma_membrane, active, extracellular, cell_surface_ligand, abc, abca, transporter	transmembrane, cell_surface, intracellular, plasma_membrane, transporter, extracellular, cell_surface_ligand, transmembrane_predicted	7	TRUE	GO_Intercell, Surfaceome, TopDB, OmniPath, Ramilowski_location, CellPhoneDB, UniProt, ComPPI, connectomeDB2020, Phobius, Baccin2019, DGIdb, Cellinker, LOCATE	FALSE	NA
ABCA12	2	protein	transporter, transmembrane, intracellular, cell_surface, abc, abca, active	transporter, transmembrane, intracellular, cell_surface, transmembrane_predicted	6	TRUE	OmniPath, Ramilowski_location, UniProt, GO_Intercell, ComPPI, TopDB, DGIdb, Surfaceome, Phobius, LOCATE	FALSE	NA
ABCA13	7	protein	transporter, receptor, abca, transmembrane, cell_surface, abc, intracellular, active	transporter, receptor, transmembrane, cell_surface, intracellular, transmembrane_predicted	5	TRUE	Surfaceome, OmniPath, UniProt, LOCATE, DGIdb, ComPPI, scConnect, GO_Intercell, Ramilowski_location, Almen2009, Phobius	FALSE	NA
ABCA2	9	protein	transmembrane, transporter, intracellular, abca, receptor, active	transmembrane, transmembrane_predicted, transporter, intracellular, receptor	5	TRUE	UniProt, Ramilowski_location, Phobius, OmniPath, LOCATE, ComPPI, Surfaceome, GO_Intercell, scConnect	FALSE	NA
ABCA3	16	protein	cell_surface, receptor, transmembrane, intracellular, active, abc, transporter, abca	cell_surface, receptor, transmembrane, intracellular, transporter, transmembrane_predicted	5	TRUE	Surfaceome, OmniPath, UniProt, DGIdb, scConnect, OPM, GO_Intercell, Phobius, ComPPI, Ramilowski_location	FALSE	NA
ABCA4	1	protein	intracellular, receptor, transmembrane, transporter, abca, cell_surface, active	intracellular, receptor, transmembrane, transmembrane_predicted, transporter, cell_surface	5	TRUE	ComPPI, scConnect, TopDB, UniProt, Phobius, Surfaceome, GO_Intercell, OmniPath, Ramilowski_location	FALSE	NA
ABCA5	17	protein	transporter, intracellular, transmembrane, receptor, plasma_membrane, active, abca	transporter, intracellular, transmembrane, receptor, plasma_membrane, transmembrane_predicted	5	TRUE	OmniPath, UniProt, scConnect, Ramilowski_location, ComPPI, Surfaceome, Phobius, GO_Intercell, LOCATE	FALSE	NA
ABCA6	17	protein	intracellular, cell_surface, receptor, transmembrane, transporter, active, abc, abca	intracellular, cell_surface, receptor, transmembrane, transporter, transmembrane_predicted	5	TRUE	GO_Intercell, OmniPath, DGIdb, Surfaceome, ComPPI, Phobius, UniProt, scConnect, TopDB, Ramilowski_location, Almen2009	FALSE	NA
ABCA7	19	protein	abc, plasma_membrane, transmembrane, transporter, cell_surface, intracellular, active, plasma_membrane_transmembrane, abca	transporter, plasma_membrane, transmembrane, cell_surface, intracellular, transmembrane_predicted, plasma_membrane_transmembrane	6	TRUE	DGIdb, OmniPath, Ramilowski_location, GO_Intercell, UniProt, Surfaceome, ComPPI, Phobius, CSPA, Almen2009, LOCATE	FALSE	NA
ABCA8	17	protein	plasma_membrane_transmembrane, transporter, transmembrane, abc, receptor, active, cell_surface, abca, intracellular, basolateral_cell_membrane, plasma_membrane	plasma_membrane_transmembrane, transporter, transmembrane, receptor, cell_surface, intracellular, plasma_membrane, transmembrane_predicted	5	TRUE	CSPA, OmniPath, UniProt, DGIdb, scConnect, Ramilowski_location, TopDB, Surfaceome, GO_Intercell, Phobius, Almen2009	FALSE	NA
ABCA9	17	protein	receptor, transporter, active, transmembrane, intracellular, abca, cell_surface, abc	receptor, transporter, transmembrane, intracellular, cell_surface, transmembrane_predicted	5	TRUE	OmniPath, Surfaceome, UniProt, TopDB, GO_Intercell, Almen2009, ComPPI, DGIdb, Ramilowski_location, scConnect, Phobius	FALSE	NA
ABCB1	7	protein	transmembrane, abc, cell_surface, plasma_membrane_transmembrane, receptor, transporter, plasma_membrane, intracellular, active, abcb, apical_cell_membrane	transmembrane, transporter, cell_surface, plasma_membrane_transmembrane, receptor, plasma_membrane, intracellular, transmembrane_predicted	7	TRUE	TopDB, OPM, Ramilowski_location, DGIdb, OmniPath, CSPA, scConnect, Surfaceome, UniProt, ComPPI, LOCATE, Phobius, GO_Intercell	FALSE	NA
ABCB10	1	protein	intracellular, receptor, transmembrane	intracellular, receptor, transmembrane_predicted, transmembrane	6	TRUE	GO_Intercell, scConnect, Phobius, Ramilowski_location, OmniPath, UniProt, TopDB, LOCATE, ComPPI	FALSE	NA
ABCB11	2	protein	receptor, transmembrane, transporter, abc, intracellular, abcb, cell_surface, apical_cell_membrane, plasma_membrane, active	receptor, transmembrane_predicted, transporter, transmembrane, intracellular, cell_surface, plasma_membrane	6	TRUE	OmniPath, Phobius, DGIdb, TopDB, UniProt, Surfaceome, scConnect, Ramilowski_location, GO_Intercell, LOCATE	FALSE	NA
ABCB4	7	protein	intracellular, transmembrane, plasma_membrane, receptor, transporter, cell_surface, abc, active, abcb, apical_cell_membrane	intracellular, transmembrane, plasma_membrane, receptor, transporter, cell_surface, transmembrane_predicted	6	TRUE	OmniPath, UniProt, Surfaceome, DGIdb, Ramilowski_location, GO_Intercell, Phobius, OPM, ComPPI, scConnect, LOCATE	FALSE	NA
ABCB5	7	protein	abc, transmembrane, receptor, transporter, abcb, plasma_membrane, cell_surface, active	transporter, transmembrane, receptor, plasma_membrane, transmembrane_predicted, cell_surface	5	TRUE	DGIdb, UniProt, OmniPath, scConnect, Surfaceome, Ramilowski_location, LOCATE, Phobius	FALSE	NA
ABCB6	2	protein	transporter, plasma_membrane, abc, transmembrane, secreted, intracellular, extracellular, receptor	transporter, plasma_membrane, transmembrane, secreted, intracellular, extracellular, transmembrane_predicted, receptor	5	TRUE	OmniPath, UniProt, DGIdb, Ramilowski_location, LOCATE, GO_Intercell, ComPPI, Phobius, scConnect	FALSE	NA
ABCB7	X	protein	receptor, intracellular, transmembrane	receptor, intracellular, transmembrane_predicted, transmembrane	5	TRUE	OmniPath, Phobius, scConnect, GO_Intercell, LOCATE, UniProt, Ramilowski_location, ComPPI	FALSE	NA
ABCB8	7	protein	transmembrane, receptor, intracellular	transmembrane, receptor, intracellular, transmembrane_predicted	5	TRUE	UniProt, LOCATE, scConnect, OmniPath, GO_Intercell, Ramilowski_location, Phobius, ComPPI	FALSE	NA
ABCB9	12	protein	transmembrane, transporter, intracellular, active, receptor, abcb	transmembrane_predicted, transporter, intracellular, transmembrane, receptor	5	TRUE	Phobius, OmniPath, ComPPI, Surfaceome, GO_Intercell, Ramilowski_location, LOCATE, UniProt, scConnect	FALSE	NA
ABCC1	16	protein	abcc, transmembrane, intracellular, active, plasma_membrane, plasma_membrane_transmembrane, cell_surface, transporter, abc, receptor	transporter, transmembrane, intracellular, plasma_membrane, plasma_membrane_transmembrane, cell_surface, receptor, transmembrane_predicted	6	TRUE	HGNC, UniProt, LOCATE, Surfaceome, OmniPath, Ramilowski_location, CSPA, DGIdb, Almen2009, TopDB, scConnect, Phobius	FALSE	NA
ABCC10	6	protein	receptor, transmembrane, intracellular, transporter, abcc, basolateral_cell_membrane, abc, plasma_membrane, cell_surface, active	receptor, transmembrane, intracellular, transporter, plasma_membrane, cell_surface, transmembrane_predicted	4	TRUE	OmniPath, GO_Intercell, Surfaceome, DGIdb, ComPPI, HGNC, UniProt, scConnect, Ramilowski_location, Phobius, Almen2009	FALSE	NA
ABCC12	16	protein	transmembrane, intracellular, abc, active, transporter, receptor, abcc, cell_surface	transmembrane, intracellular, transporter, transmembrane_predicted, receptor, cell_surface	4	TRUE	UniProt, DGIdb, Phobius, Surfaceome, scConnect, OmniPath, HGNC, Almen2009, Ramilowski_location, GO_Intercell	FALSE	NA
ABCC2	10	protein	transmembrane, apical_cell_membrane, receptor, plasma_membrane, transporter, abcc, cell_surface, abc, active	transmembrane, transmembrane_predicted, plasma_membrane, receptor, transporter, cell_surface	5	TRUE	UniProt, Phobius, OmniPath, scConnect, HGNC, Almen2009, Surfaceome, LOCATE, DGIdb, Ramilowski_location	FALSE	NA
ABCC3	17	protein	transporter, plasma_membrane, transmembrane, receptor, cell_surface, basolateral_cell_membrane, abcc, active, abc	transporter, plasma_membrane, transmembrane, receptor, cell_surface, transmembrane_predicted	5	TRUE	HGNC, UniProt, OmniPath, DGIdb, scConnect, Surfaceome, Almen2009, LOCATE, Ramilowski_location, Phobius	FALSE	NA
ABCC4	13	protein	transmembrane, abcc, apical_cell_membrane, intracellular, transporter, plasma_membrane, receptor, basolateral_cell_membrane, abc, cell_surface, active	transmembrane, transporter, plasma_membrane, intracellular, transmembrane_predicted, receptor, cell_surface	5	TRUE	OmniPath, HGNC, UniProt, GO_Intercell, Phobius, Surfaceome, DGIdb, Almen2009, Ramilowski_location, scConnect, LOCATE, ComPPI	FALSE	NA
