mouse_gene_symbol	mouse_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	database_tf
0610010K14Rik	11	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
0610030E20Rik	6	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
0610040J01Rik	5	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
1110032A03Rik	9	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, ComPPI, UniProt	NA
1110032F04Rik	3	protein	cell_surface, transmembrane	cell_surface, transmembrane, transmembrane_predicted	4	TRUE	Surfaceome, OmniPath, Ramilowski_location, UniProt, Phobius	NA
1110038F14Rik	15	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1110059G10Rik	9	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
1110065P20Rik	4	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
1190005I06Rik	8	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
1600012H06Rik	17	protein	transmembrane, intracellular, secreted	transmembrane, intracellular, secreted	3	TRUE	OmniPath, Ramilowski_location, HPA_secretome, UniProt, GO_Intercell	NA
1600014C10Rik	7	protein	transmembrane, intracellular	transmembrane, intracellular	4	TRUE	UniProt, Ramilowski_location, OmniPath, ComPPI, GO_Intercell	NA
1700001L19Rik	13	protein	intracellular	intracellular	2	FALSE	GO_Intercell, ComPPI, OmniPath	NA
1700001O22Rik	2	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1700010I14Rik	17	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1700012B09Rik	9	protein	intracellular	intracellular	2	FALSE	UniProt, OmniPath, GO_Intercell	NA
1700013H16Rik	X	protein	intracellular	intracellular	3	FALSE	GO_Intercell, LOCATE, OmniPath, UniProt, ComPPI	NA
1700017B05Rik	9	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	NA
1700017N19Rik	10	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	NA
1700019D03Rik	1	protein	plasma_membrane	plasma_membrane	1	FALSE	OmniPath, UniProt	NA
1700019N19Rik	19	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	NA
1700020L24Rik	11	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1700021F07Rik	2	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1700022I11Rik	4	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
1700025G04Rik	1	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
1700029I15Rik	2	protein	secreted, transmembrane, intracellular	secreted, transmembrane, intracellular	3	TRUE	HPA_secretome, OmniPath, UniProt, GO_Intercell	NA
1700029J07Rik	8	protein	intracellular	intracellular	2	FALSE	GO_Intercell, UniProt, OmniPath	NA
1700030J22Rik	8	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	NA
1700030K09Rik	8	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
1700037H04Rik	2	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	NA
1700040F15Rik	Y	protein	intracellular	intracellular	3	FALSE	GO_Intercell, LOCATE, OmniPath, UniProt, ComPPI	NA
1700057G04Rik	9	protein	plasma_membrane, intracellular, cell_surface, transmembrane, ecm	plasma_membrane, intracellular, cell_surface, transmembrane, ecm	3	TRUE	OmniPath, ComPPI, UniProt, CellCellInteractions, GO_Intercell, connectomeDB2020	NA
1700066B19Rik	18	protein	transmembrane	transmembrane, transmembrane_predicted	3	TRUE	UniProt, OmniPath, Phobius	NA
1700066M21Rik	1	protein	secreted, intracellular	secreted, intracellular	2	FALSE	HPA_secretome, OmniPath, UniProt, GO_Intercell	NA
